id,commentCount,dislikeCount,hiddenSubscriberCount,likeCount,subscriberCount,videoCount,viewCount
7dg5LD4blU8,25,3,,306,,,7612
prW9ikv0TnA,134,74,,222,,,2276
DEH8yewDk5g,0,0,,3,,,147
gO0Smbaey-Y,52,7,,397,,,6684
f1CnqcfHdRg,0,,,,,,16
fj-L_QoIVeM,12,0,,13,,,299
UCV1b53MrUe9sHAu681cAM4A,2,,false,,21774,310,1616139
UCU04f8ZKNFH9Y7fVOmq4bUQ,5,,false,,1541,1323,291131
UC-kkb6eXJsxiSxP8OXy8FMw,1,,false,,292,34,21344
UCugALfkkLM_nwxBFx1Lzt8w,1,,false,,140559,64,11697736
UCZ7WUUwBT5zVduedekdFbTQ,0,,false,,1256,54,413346
UCLLycaKlMv_eRIzz7Xrt87Q,0,,false,,302,244,72129
UCm4rprb_tYXp1JC9gJE1dvA,0,,false,,22,3,1389
UCRwpSR7j3yjuUFIgVIErVOA,0,,false,,363,42,16064
UCNmp2F7imcb4SGC3x0pjnWA,0,,false,,13744,198,1147759
UCrrC3jR5IxdiwA2ZJFnn-tA,0,,false,,81,29,8780
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Wy-kX2r5OdI,1,0,,5,,,166
,,,,,,,
,,,,,,,
zxPsphwqRVw,0,0,,5,,,47
TfuaDG4WxIU,2,1,,7,,,115
rHx1iySilH0,18,0,,15,,,96
YxFLHmN_jcI,0,0,,1,,,21
e8pGxsfbSDk,21,0,,93,,,727
qhUEVBz0N_w,0,0,,0,,,358
BLJlWkKKKRg,247,42,,2302,,,54115
25wavE7vLwI,0,0,,0,,,309
mA37oG_aS-8,47,2,,275,,,2528
UCk3Wk87KGH_C4BpSLYOT3xQ,0,,false,,23052,89,2039532
UC1sb-8607_3Qc_JLeIssPzA,0,,false,,249578,493,382371856
UC_TmqZk7bYEWin22uHGRT9w,0,,false,,37,38,60150
UCiup8cqgyB5CUEZdzb8H8Zg,0,,false,,80378,268,7383569
UCgNC_CHxm8ItOw_tKgfTD2w,2,,false,,5553,584,626031
UCJFrE9hunRlTTi9EOlJzBwA,0,,false,,169454,675,69785544
UCEjBWzcw_3h8rnGsMyFfcEQ,7,,false,,432835,478,34008431
UCWWj_x-_hpZSxJ1Buq9T6OQ,0,,false,,3816,132,2233909
UCsIs1OTRtvyQ_A1UvU7xorA,0,,false,,392,20,16627
UCr8hkmgBQVnM3sla0I6Lm-Q,0,,false,,241,4,62941
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
ie_l3H_tHmA,82,15,,412,,,56784
o1dwrujJ9Vs,1,0,,1,,,1
JIhLy7A55b0,2,0,,10,,,49
YcBf8WMwEHk,51,18,,199,,,98114
JS60qyA1Kws,203,19,,937,,,13646
VUP1tA-kujI,5,6,,113,,,16802
I6j9n7FJag0,161,39,,619,,,36873
z8w3gImcf3E,1,1,,19,,,303
Ubkt6ebn0jw,33,0,,114,,,3661
iQ3E9L9zTz0,444,15,,2522,,,30463
UCd9u-g7Bmb9RIrdvp_kukZw,0,,false,,77971,100,2677514
UCsQES1tC1oKZdf4qeX6c7UQ,16,,false,,3979,466,649678
UCVbLheiXzq-bUXuExtOap5w,3231,,false,,92666,694,17979480
UCyjUQ0CzxlPxWE59CNcitNQ,1,,false,,120375,198,13503292
UC42vDk_yC7XFxX2t8YMUuNw,0,,false,,3516,27,130192
UCOPD5n4kWf1539Pr3mWakTQ,0,,false,,172,79,4535
UCBc24wiJL0RA-5COGEoYVKw,4,,false,,11951,268,1646784
UCTY5MkEYOC1dJUkFH1UxxiA,0,,false,,11981,183,911345
UCTo20FZFG6bXoLEtfx0LguA,0,,false,,3927,23,267256
UCUHs_DhSrKKAdmJ-xuTESlg,0,,false,,237,92,17324
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
XZjjT_irGVw,214,5,,672,,,4125
,,,,,,,
W8htNj7_XBc,63,24,,489,,,10919
wpfPBjFt5mg,132,40,,680,,,35633
,,,,,,,
Zbd2pevY7D0,60,0,,42,,,695
VQVty8Avy2Y,44,1,,201,,,2033
L-S5qPW3vb4,2,0,,1,,,49
l26RkGYYADU,8,0,,5,,,52
dcYra1Nc2gQ,2,0,,11,,,297
X38A8kOtjGM,39,2,,83,,,933
BaU127ngiGk,0,0,,3,,,21
UC1wDEXPpf8jEUb1qirOwMqw,0,,false,,5334,536,620454
UCfAEEhKikW1676DCa_0OWLA,1644,,false,,2592291,388,167982300
UC7VpPkn5Ltpigpyiyz3j3Ag,0,,false,,18304,132,12817318
UC1AWSR85lMh68j7u_Ukzwcw,27,,false,,20301,484,2307485
UCDc2GSW7mqC652FZ2GQDXfw,0,,false,,12680,429,1451495
UCmUN98JbXJBl7qnTVsAhxpA,0,,false,,472,255,63678
UCC848-UHo_qJoyKiKnKnMyA,0,,false,,86,450,75054
UC9lmRo3BFtTp4pHaeHj_HKQ,0,,false,,34,19,5557
UCv2ghrIQA0P27GxAIXm9-3Q,45,,false,,650,97,50118
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
UCjLrJS6wV_W0f27bnKHPv1g,1,,false,,19,53,8305
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
f0kun8kIZ8s,0,0,,1,,,24
,,,,,,,
VilTUYt5N8Q,131,293,,974,,,1079824
,,,,,,,
n_41C6xV_pc,2370,185,,13956,,,301700
DQXu57hFUkw,12,1,,95,,,1940
1vkFOPCHfSE,33,2,,77,,,835
Hw1DIpMTwOE,28,4,,117,,,1134
53lOAnTryn4,4,0,,3,,,39
pPkx-UAT_h0,0,0,,0,,,5
sgHUZi-m8qY,0,0,,0,,,23
elYdtJ_C7yE,13,0,,13,,,223
UCGBX3eyh43N7i6rd26uuAJw,0,,false,,2922,70,294305
UCJnpF9oROFPvd7wWbPUDdGA,2,,false,,36119,56087,98743707
UCfJMZurc8OymhKWW22cq_VQ,0,,false,,614,94,84424
